Rk,School,G,W,L,W.L.,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,X.,MP,FG,FGA,FG.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,TRB,AST,STL,BLK,TOV,PF
310,Texas-El Paso,29,8,21,0.276,-7.75,-1.23,3,15,8,8,0,13,1859,2001,,1170,638,1592,0.401,199,621,0.32,384,580,0.662,285,1070,306,135,83,466,551
311,Texas-Rio Grande Valley,33,18,15,0.545,-1.45,-0.97,9,7,10,8,8,7,2318,2307,,1330,784,1905,0.412,174,556,0.313,576,835,0.69,335,1103,444,313,92,424,690
312,Texas-San Antonio,31,17,14,0.548,1.53,0.53,11,7,11,4,5,7,2405,2322,,1255,869,2008,0.433,285,824,0.346,382,519,0.736,314,1186,401,209,81,390,559
313,Texas Southern,31,19,12,0.613,-6.31,-6.79,14,4,9,2,10,10,2473,2417,,1245,852,1918,0.444,231,719,0.321,538,799,0.673,379,1207,472,250,92,469,546
314,Texas State,31,23,8,0.742,2.64,-2.6,12,6,11,3,10,5,2264,1991,,1250,809,1790,0.452,229,685,0.334,417,622,0.67,364,1167,461,210,70,410,606
315,Texas Tech,31,26,5,0.839,22.11,7.69,14,4,17,1,6,3,2265,1818,,1245,811,1717,0.472,226,612,0.369,417,577,0.723,275,1062,419,220,151,381,548
316,Texas,31,16,15,0.516,15.81,11.68,8,10,12,6,2,8,2207,2079,,1250,781,1792,0.436,264,774,0.341,381,534,0.713,310,1049,397,186,127,343,521
317,Toledo,31,25,6,0.806,9.37,0.77,13,5,14,2,8,4,2397,2098,,1250,852,1874,0.455,302,801,0.377,391,506,0.773,314,1221,516,161,144,384,490
318,Towson,32,10,22,0.313,-7.92,-3.04,6,12,5,8,4,8,2170,2294,,1310,810,1860,0.435,180,550,0.327,370,531,0.697,389,1183,318,154,94,390,562
319,Troy,30,12,18,0.4,-5.78,-0.68,5,13,8,8,4,10,2179,2242,,1210,773,1719,0.45,236,704,0.335,397,550,0.722,277,1021,392,171,135,408,523
320,Tulane,30,4,26,0.133,-6.85,3.35,0,18,3,12,0,10,2014,2320,,1200,706,1715,0.412,207,647,0.32,395,572,0.691,288,1097,427,140,108,457,517
321,Tulsa,31,18,13,0.581,4.95,3.86,8,10,14,3,3,8,2231,2197,,1250,752,1666,0.451,214,619,0.346,513,739,0.694,229,1082,409,171,73,394,512
322,UCLA,31,16,15,0.516,7.43,6.88,9,9,13,5,3,7,2429,2412,,1255,869,1895,0.459,239,680,0.351,452,716,0.631,361,1281,454,184,130,439,521
323,Utah State,31,25,6,0.806,12.38,0.58,15,3,14,1,9,4,2452,2071,,1250,862,1818,0.474,243,689,0.353,483,647,0.747,330,1240,532,194,131,385,581
324,Utah Valley,31,23,8,0.742,4.02,-1.94,12,4,13,1,8,7,2403,2182,,1240,828,1702,0.486,252,642,0.393,495,684,0.724,267,1109,429,184,77,418,553
325,Utah,30,17,13,0.567,6.65,5.18,11,7,10,5,6,5,2289,2245,,1205,787,1682,0.468,296,783,0.378,419,596,0.703,304,1058,433,141,76,397,533
326,Valparaiso,33,15,18,0.455,-3.04,-0.65,7,11,8,7,5,8,2205,2187,,1335,802,1783,0.45,185,585,0.316,416,595,0.699,294,1115,431,202,101,439,546
327,Vanderbilt,31,9,22,0.29,4.51,8.31,0,18,8,10,1,10,2128,2246,,1245,717,1699,0.422,227,715,0.317,467,693,0.674,312,1110,365,141,124,441,555
328,Vermont,31,25,6,0.806,4.35,-4.19,14,2,14,2,11,4,2289,1967,,1250,788,1728,0.456,236,682,0.346,477,636,0.75,280,1090,363,174,125,343,512
329,Villanova,31,22,9,0.71,15.55,8,13,5,13,2,5,6,2314,2080,,1250,771,1738,0.444,331,932,0.355,441,607,0.727,323,1091,440,167,93,344,510
330,Virginia Commonwealth,31,25,6,0.806,13.23,2.9,16,2,16,1,8,4,2216,1896,,1250,778,1753,0.444,222,725,0.306,438,627,0.699,332,1137,432,249,137,433,616
331,VMI,32,11,21,0.344,-10.13,0.46,4,14,8,7,2,13,2433,2617,,1290,843,1973,0.427,323,898,0.36,424,581,0.73,280,1110,442,217,61,390,541
332,Virginia Tech,30,23,7,0.767,20.07,7.8,12,6,14,2,5,5,2234,1866,,1205,771,1619,0.476,292,733,0.398,400,525,0.762,271,977,463,202,68,344,462
333,Virginia,30,28,2,0.933,27.15,9.58,16,2,15,1,10,1,2164,1637,,1205,773,1614,0.479,256,617,0.415,362,485,0.746,272,1059,438,168,119,272,433
334,Wagner,30,13,17,0.433,-12.58,-7.22,8,10,7,7,6,10,1974,2044,,1205,655,1696,0.386,236,773,0.305,428,575,0.744,378,1095,351,184,108,414,639
335,Wake Forest,30,11,19,0.367,2.13,9.37,4,14,8,8,1,10,2048,2265,,1210,687,1755,0.391,190,624,0.304,484,665,0.728,389,1142,319,146,75,402,536
336,Washington State,31,11,20,0.355,-0.96,1.98,4,14,9,7,2,8,2342,2433,,1240,817,1809,0.452,294,796,0.369,414,548,0.755,264,1043,463,160,92,420,541
337,Washington,31,24,7,0.774,12.55,6.2,15,3,15,1,7,4,2182,1985,,1245,767,1678,0.457,229,659,0.347,419,598,0.701,296,993,358,274,181,415,570
338,Weber State,31,17,14,0.548,-3.47,-5.98,11,9,10,5,5,7,2487,2305,,1250,877,1824,0.481,238,646,0.368,495,663,0.747,208,1112,364,165,128,361,570
339,West Virginia,31,12,19,0.387,6.57,10.41,4,14,10,6,0,10,2262,2381,,1260,758,1827,0.415,231,727,0.318,515,756,0.681,441,1215,406,190,107,498,634
340,Western Carolina,32,7,25,0.219,-8.81,0.8,4,14,4,8,3,14,2304,2563,,1295,792,1744,0.454,296,800,0.37,424,628,0.675,303,1135,389,135,53,577,671
341,Western Illinois,30,10,20,0.333,-9.86,-4.93,4,12,7,6,2,14,2125,2196,,1205,791,1803,0.439,234,610,0.384,309,425,0.727,245,1067,312,162,129,347,473
342,Western Kentucky,31,18,13,0.581,3.01,1.3,11,7,10,4,6,8,2236,2183,,1260,793,1753,0.452,186,559,0.333,464,637,0.728,299,1133,384,216,155,429,484
343,Western Michigan,31,8,23,0.258,-5.6,1.94,2,16,5,9,2,13,2179,2358,,1260,749,1747,0.429,221,692,0.319,460,665,0.692,324,1144,357,147,76,478,543
344,Wichita State,30,17,13,0.567,6.51,5.48,10,8,10,4,4,7,2117,2086,,1205,760,1857,0.409,226,723,0.313,371,521,0.712,369,1129,415,141,100,359,585
345,William & Mary,31,14,17,0.452,-4.29,-1.59,10,8,9,5,5,11,2321,2385,,1265,841,1773,0.474,254,735,0.346,385,576,0.668,251,1057,529,158,146,390,516
346,Winthrop,30,18,12,0.6,-2.71,-3.56,10,6,11,3,7,8,2499,2358,,1210,855,1878,0.455,372,997,0.373,417,565,0.738,330,1232,460,134,83,456,534
